,32,33,34,35,84,85,86,87,96,100,113,133,135,136,175,176,177,178,179,180,201,202,203,204,229,230,231,232,274,275,276,277,305,306,307,327,328,329,330,331,413,414,415,416,437,451,452,453,454,455,465,466,467,468,478,482,483,484,494,520,521,522,523,547,548,549,550,551,563,564,565,566,567,590,591,592,593,594,597,598,599,603,604,605,606,607,615,616,637,638,640,641,642,643,644,645,646,674,675,676,677,678,679,680,681,682,710,711,712,713,714,715,716,717,718,773,774,775,776,801,802,803,804,832,833,834,835,836,868,869,870,871,872,900,901,902,903,904,940,941,942,943,944,976,977,978,979,980,1005,1006,1007,1008,1052,1053,1054,1055,1056,1085,1086,1087,1088,1113,1114,1115,1116,1141,1142,1143,1144,1170,1171,1172,1190,1191,1192,1193,1218,1219,1220,1221,1235,1236,1237,1238,1239,1249,1250,1251,1255,1256,1257,1258,1270,1286,1287,1288,1289,1290,1291,1292,1293,1294,1313,1314,1315,1316,1317,1318,1319,1320,1321,1352,1353,1354,1355,1356,1357,1358,1359,1360,1361
ccode,FC99,FC100,FC101,FC102,FC84,FC85,FC86,FC87,GC14,FC62,GC22,FC72,FC74,FC75,FC88,FC89,FC90,FC91,FC92,FC93,FC44,FC45,FC46,FC47,FC63,FC64,FC65,FC66,FC194,FC195,FC196,FC197,FC41,FC42,FC43,FC1,FC2,FC3,FC4,FC5,FC23,FC24,FC25,FC26,GC17,FC126,FC127,FC128,FC129,FC130,FC143,FC144,FC145,FC146,FC147,GC32,GC33,FC151,GC38,FC135,FC136,FC137,FC138,FC163,FC164,FC165,FC166,FC167,FC168,FC169,FC170,FC171,FC172,FC56,FC57,FC58,FC59,FC60,FC187,FC188,FC189,FC173,FC174,FC175,FC176,FC177,FC120,FC121,GC1,GC2,GC4,GC5,FC203,FC204,FC205,FC206,FC207,GC7,GC8,FC107,FC108,FC109,FC110,FC111,FC112,FC113,GC9,GC10,GC11,FC11,FC12,FC13,FC14,FC15,FC16,FC103,FC104,FC105,FC106,FC76,FC77,FC78,GC13,FC79,FC80,FC81,FC82,FC83,FC94,FC95,FC96,FC97,FC98,FC48,FC49,FC50,FC51,FC52,FC67,FC68,FC69,FC70,FC71,FC198,FC199,FC200,FC201,FC202,FC37,FC38,FC39,FC40,FC6,FC7,FC8,FC9,FC10,FC122,FC123,FC124,FC125,FC155,FC156,FC157,FC158,FC27,FC28,FC29,FC30,FC178,FC179,FC180,FC139,FC140,FC141,FC142,FC159,FC160,FC161,FC162,FC53,FC54,FC55,FC226,FC227,FC190,FC191,FC192,FC183,FC184,FC185,FC186,GC3,GC27,GC28,GC6,GC30,FC208,FC209,FC210,FC211,FC212,GC35,GC36,GC37,FC114,FC115,FC116,FC117,FC118,FC119,GC24,GC25,GC26,FC17,FC73,FC18,FC19,FC20,FC21,FC22
credits,4.0,4.0,4.0,4.0,4.0,6.0,5.0,2.0,1.5,4.0,1.5,4.0,6.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,4.0,4.0,8.0,2.0,3.0,5.0,3.0,3.0,4.0,6.0,6.0,6.0,4.0,3.0,3.0,4.0,4.0,7.0,4.0,4.0,3.0,1.5,4.0,3.0,3.0,3.0,3.0,6.0,6.0,3.0,3.0,4.0,1.5,1.5,4.0,1.5,3.0,3.0,2.0,8.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,9.0,5.0,4.0,2.0,2.0,6.0,6.0,2.0,4.0,4.0,1.5,1.5,1.5,1.5,6.0,2.0,2.0,2.0,3.0,1.5,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.5,1.5,2.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,4.0,8.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,3.0,2.0,6.0,4.0,4.0,3.0,4.0,4.0,6.0,3.0,6.0,7.0,6.0,3.0,4.0,3.0,8.0,4.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,9.0,4.0,4.0,5.0,4.0,6.0,3.0,1.5,1.5,1.5,1.5,1.5,3.0,3.0,2.0,2.0,6.0,2.0,2.0,1.5,2.0,3.0,3.0,3.0,3.0,2.0,1.5,1.5,1.5,2.0,3.0,2.0,2.0,4.0,3.0,2.0
